id,title,genres,averageRating,numVotes,releaseYear
tt0903747,"Breaking Bad","Crime, Drama, Thriller",9.5,2222284,2008
tt5491994,"Planet Earth II",Documentary,9.5,161331,2016
tt0185906,"Band of Brothers","Drama, History, War",9.4,543090,2001
tt0795176,"Planet Earth","Documentary, Family",9.4,222856,2006
tt5152226,"Tree of Life",Drama,9.4,11606,2014
tt7366338,Chernobyl,"Drama, History, Thriller",9.3,900834,2019
tt0306414,"The Wire","Crime, Drama, Thriller",9.3,388724,2002
tt0417299,"Avatar: The Last Airbender","Action, Adventure, Animation",9.3,387217,2005
tt30263074,"Sapne Vs Everyone",Drama,9.3,70742,2023
tt6769208,"Blue Planet II",Documentary,9.3,48153,2017
tt0081846,Cosmos,Documentary,9.3,45186,1980
tt7678620,Bluey,"Animation, Family",9.3,32363,2018
tt9002164,"BB Ki Vines",Comedy,9.3,11248,2015
tt0944947,"Game of Thrones","Action, Adventure, Drama",9.2,2356835,2011
tt0141842,"The Sopranos","Crime, Drama",9.2,494394,1999
tt14392248,Aspirants,Drama,9.2,313487,2021
tt12392504,"Scam 1992: The Harshad Mehta Story","Biography, Crime, Drama",9.2,160142,2020
tt2395695,"Cosmos: A Spacetime Odyssey",Documentary,9.2,130608,2014
tt9253866,"Our Planet",Documentary,9.2,53056,2019
tt9471404,"The Chosen","Drama, History",9.2,50732,2017
tt4202274,"The Filthy Frank Show","Comedy, Short",9.2,33569,2011
tt0071075,"The World at War","Documentary, History, War",9.2,30460,1973
tt9861270,"Çilgin Dersane at the University",Comedy,9.2,11576,2014
tt1475582,Sherlock,"Crime, Drama, Mystery",9.1,1021453,2010
tt2861424,"Rick and Morty","Adventure, Animation, Comedy",9.1,623722,2013
tt2560140,"Attack on Titan","Action, Adventure, Animation",9.1,552839,2013
tt1355642,"Fullmetal Alchemist: Brotherhood","Action, Adventure, Animation",9.1,206688,2009
tt8420184,"The Last Dance","Biography, Documentary, History",9.1,158263,2020
tt1831164,"Leyla and Mecnun","Adventure, Comedy, Drama",9.1,97239,2011
tt28227737,"Sandeep Bhaiya",Drama,9.1,75816,2023
tt4742876,"TVF Pitchers","Comedy, Drama",9.1,73267,2015
tt1533395,Life,Documentary,9.1,43336,2009
tt1877514,"The Vietnam War","Documentary, History, War",9.1,28807,2017
tt10530900,Gullak,"Comedy, Drama, Family",9.1,24294,2019
tt7450814,Koombiyo,"Crime, Drama, Thriller",9.1,18023,2017
tt9471962,Halka,"Action, Crime, Drama",9.1,17795,2019
tt4834232,"Critical Role","Adventure, Fantasy",9.1,13478,2015
tt13854248,"The Legend of Hanuman","Action, Adventure, Animation",9.1,12780,2021
tt7923710,"My Mister","Drama, Family",9.1,10411,2018
tt0386676,"The Office",Comedy,9,741468,2005
tt3032476,"Better Call Saul","Crime, Drama",9,684289,2015
tt11126994,Arcane,"Action, Adventure, Animation",9,291639,2021
tt0388629,"One Piece","Action, Adventure, Animation",9,263872,1999
tt2098220,"Hunter x Hunter","Action, Adventure, Animation",9,146415,2011
tt0103359,"Batman: The Animated Series","Action, Adventure, Animation",9,121204,1992
tt12004706,Panchayat,"Comedy, Drama",9,97655,2020
tt0052520,"The Twilight Zone","Drama, Fantasy, Horror",9,96132,1959
tt9432978,"Kota Factory","Comedy, Drama",9,85337,2019
tt10541088,"Clarkson's Farm","Comedy, Documentary, Reality-TV",9,65305,2021
tt0081912,"Only Fools and Horses",Comedy,9,57830,1981
tt7920978,Persona,"Crime, Drama, Mystery",9,48584,2018
tt21279678,"NCR Days",Drama,9,43879,2022
tt14986406,"Bleach: Thousand-Year Blood War","Action, Adventure, Animation",9,43647,2022
tt0296310,"The Blue Planet",Documentary,9,43397,2001
tt2092588,"Frozen Planet",Documentary,9,33484,2011
tt1806234,"Human Planet",Documentary,9,28094,2011
tt8595766,"Yeh Meri Family","Comedy, Drama, Family",9,26253,2018
tt0268093,Ramayan,"Adventure, Drama, Family",9,24624,1987
tt13675832,"As If",Comedy,9,24406,2021
tt4934214,Taskmaster,"Comedy, Game-Show",9,21314,2015
tt0098769,"The Civil War","Documentary, History, War",9,19091,1990
tt1508238,"Apocalypse: The Second World War","Documentary, History, War",9,14656,2009
tt5182866,"Reply 1988","Comedy, Drama, Family",9,13249,2015
tt3212600,Mahabharat,"Drama, History, War",9,12097,2013
tt0108778,Friends,"Comedy, Romance",8.9,1113025,1994
tt2356777,"True Detective","Crime, Drama, Mystery",8.9,674186,2014
tt2802850,Fargo,"Crime, Drama, Thriller",8.9,431498,2014
tt0877057,"Death Note","Animation, Crime, Drama",8.9,397496,2006
tt0098904,Seinfeld,Comedy,8.9,359147,1989
tt0303461,Firefly,"Adventure, Drama, Sci-Fi",8.9,285349,2002
tt1865718,"Gravity Falls","Adventure, Animation, Comedy",8.9,144916,2012
tt0213338,"Cowboy Bebop","Action, Adventure, Animation",8.9,144895,1998
tt0200276,"The West Wing",Drama,8.9,87800,1999
tt2297757,"Nathan for You","Comedy, Documentary",8.9,40168,2013
tt9735318,"The Beatles: Get Back","Biography, Documentary, Music",8.9,29280,2021
tt0092337,Dekalog,Drama,8.9,28456,1989
tt1909015,Undercover,"Action, Crime, Drama",8.9,27799,2011
tt22248376,"Frieren: Beyond Journey's End","Adventure, Animation, Drama",8.9,25030,2023
tt0158417,Mahabharat,"Action, Adventure, Drama",8.9,23953,1988
tt13868972,"Rocket Boys","Drama, History",8.9,18452,2022
tt1518542,"Sarabhai V/S Sarabhai",Comedy,8.9,18430,2004
tt2571774,Africa,Documentary,8.9,17373,2013
tt5851616,"Tash ma Tash","Comedy, Drama",8.9,10705,1992
tt11992526,Harga,Drama,8.9,10016,2021
tt2442560,"Peaky Blinders","Crime, Drama",8.8,677895,2013
tt10986410,"Ted Lasso","Comedy, Drama, Sport",8.8,369914,2020
tt7660850,Succession,"Comedy, Drama",8.8,292412,2018
tt0472954,"It's Always Sunny in Philadelphia",Comedy,8.8,257822,2005
tt0098936,"Twin Peaks","Crime, Drama, Mystery",8.8,220398,1990
tt3398228,"BoJack Horseman","Animation, Comedy, Drama",8.8,197966,2014
tt0193676,"Freaks and Geeks","Comedy, Drama",8.8,155618,1999
tt0214341,"Dragon Ball Z","Action, Adventure, Animation",8.8,153281,1996
tt0264235,"Curb Your Enthusiasm",Comedy,8.8,151469,2000
tt7137906,"When They See Us","Biography, Crime, Drama",8.8,141913,2019
tt14650074,Dhindora,"Comedy, Drama",8.8,123044,2021
tt0072500,"Fawlty Towers",Comedy,8.8,101678,1975
tt3530232,"Last Week Tonight with John Oliver","Comedy, News, Talk-Show",8.8,97213,2014
tt0112130,"Pride and Prejudice","Drama, Romance",8.8,94136,1995
tt0121220,"Dragon Ball Z","Action, Adventure, Animation",8.8,90427,1989
tt10233448,"Vinland Saga","Action, Adventure, Animation",8.8,83162,2019
tt0063929,"Monty Python's Flying Circus",Comedy,8.8,79750,1969
tt1910272,Steins;Gate,"Animation, Comedy, Drama",8.8,77104,2011
tt3718778,"Over the Garden Wall","Adventure, Animation, Comedy",8.8,74701,2014
tt0353049,"Chappelle's Show","Comedy, Music",8.8,73172,2003
tt0096548,"Blackadder Goes Forth","Comedy, War",8.8,57753,1989
tt15435876,"The Penguin","Crime, Drama",8.8,42636,2024
tt16026746,"X-Men '97","Action, Adventure, Animation",8.8,36799,2024
tt0081834,"Das Boot","Drama, War",8.8,33917,1985
tt1795096,"Behzat Ç: An Ankara Detective Story","Crime, Drama, Mystery",8.8,33475,2010
tt7927936,Flames,"Comedy, Drama, Romance",8.8,33037,2018
tt0074006,"I, Claudius","Biography, Drama, History",8.8,19804,1976
tt15295490,"Campus Diaries","Comedy, Drama, Romance",8.8,17344,2022
tt22727518,"Another Love","Crime, Drama, Romance",8.8,15347,2023
tt9566030,"Pew News","Comedy, News",8.8,14792,2018
tt6108262,"Black Sun","Crime, Drama, Thriller",8.8,12613,2017
tt13661118,"Not Me","Action, Crime, Romance",8.8,12179,2021
tt0481256,"Fighting Spirit","Action, Animation, Comedy",8.8,11223,2000
tt4574334,"Stranger Things","Drama, Fantasy, Horror",8.7,1385402,2016
tt1190634,"The Boys","Action, Comedy, Crime",8.7,730329,2019
tt2085059,"Black Mirror","Crime, Drama, Mystery",8.7,658270,2011
tt3581920,"The Last of Us","Action, Adventure, Drama",8.7,572882,2023
tt0412142,House,"Drama, Mystery",8.7,534059,2004
tt2707408,Narcos,"Biography, Crime, Drama",8.7,482594,2015
tt5753856,Dark,"Crime, Drama, Mystery",8.7,464100,2017
tt0096697,"The Simpsons","Animation, Comedy",8.7,443602,1989
tt0121955,"South Park","Animation, Comedy",8.7,413202,1997
tt0367279,"Arrested Development",Comedy,8.7,328969,2003
tt0804503,"Mad Men",Drama,8.7,266680,2007
tt4236770,Yellowstone,"Drama, Western",8.7,236485,2018
tt1606375,"Downton Abbey","Drama, Romance",8.7,229304,2010
tt11280740,Severance,"Drama, Mystery, Sci-Fi",8.7,224427,2022
tt6741278,Invincible,"Action, Adventure, Animation",8.7,219942,2021
tt5687612,Fleabag,"Comedy, Drama",8.7,213371,2016
tt4508902,"One Punch Man","Action, Animation, Comedy",8.7,192639,2015
tt0384766,Rome,"Action, Drama, Romance",8.7,189652,2005
tt0988824,"Naruto: Shippuden","Action, Adventure, Animation",8.7,181292,2007
tt0407362,"Battlestar Galactica","Action, Adventure, Drama",8.7,178565,2004
tt5555260,"This Is Us","Comedy, Drama, Romance",8.7,162938,2016
tt0248654,"Six Feet Under","Comedy, Drama",8.7,153470,2001
tt5788792,"The Marvelous Mrs. Maisel","Comedy, Drama",8.7,146391,2017
tt0092455,"Star Trek: The Next Generation","Action, Adventure, Drama",8.7,139656,1987
tt1628033,"Top Gear","Adventure, Sport, Talk-Show",8.7,129389,2002
tt13991232,1883,"Drama, Western",8.7,123140,2021
tt0118421,Oz,"Crime, Drama, Thriller",8.7,108977,1997
tt9544034,"The Family Man","Action, Comedy, Drama",8.7,101249,2019
tt0286486,"The Shield","Crime, Drama, Thriller",8.7,90150,2002
tt5712554,"The Grand Tour","Comedy, Sport, Talk-Show",8.7,87539,2016
tt0994314,"Code Geass","Action, Animation, Drama",8.7,84538,2006
tt13309742,"Blue Eye Samurai","Action, Adventure, Animation",8.7,78932,2023
tt0758745,"Friday Night Lights","Drama, Sport",8.7,73873,2006
tt2303687,"Line of Duty","Crime, Drama, Mystery",8.7,72586,2012
tt0387764,"Peep Show",Comedy,8.7,68059,2003
tt0318871,Berserk,"Action, Adventure, Animation",8.7,58537,1997
tt0434706,Monster,"Animation, Crime, Drama",8.7,49827,2004
tt10850932,"Crash Landing on You","Adventure, Comedy, Drama",8.7,45407,2019
tt0111958,"Father Ted",Comedy,8.7,44658,1995
tt3398540,Haikyu!!,"Animation, Comedy, Drama",8.7,39261,2014
tt1534360,Ezel,"Crime, Drama, Thriller",8.7,38535,2009
tt7472896,"Mr Inbetween","Crime, Drama",8.7,34502,2018
tt0459159,"The Thick of It",Comedy,8.7,26763,2005
tt0096639,"Lonesome Dove","Adventure, Drama, Western",8.7,26683,1989
tt0086661,"The Adventures of Sherlock Holmes","Crime, Drama, Mystery",8.7,24716,1984
tt10332508,Primal,"Action, Adventure, Animation",8.7,22390,2019
tt28857177,"Lucky Guy","Comedy, Drama, Fantasy",8.7,21485,2023
tt6025022,"Justice League Unlimited","Action, Adventure, Animation",8.7,21331,2004
tt20859920,"Alchemy of Souls","Action, Drama, Fantasy",8.7,19729,2022
tt0080306,"Yes Minister",Comedy,8.7,16928,1980
tt0988818,Gintama,"Action, Animation, Comedy",8.7,16360,2005
tt4063800,"The Bureau","Drama, Thriller",8.7,14987,2015
tt0106028,"Homicide: Life on the Street","Crime, Drama, Mystery",8.7,14966,1993
tt10801534,"How to with John Wilson","Comedy, Documentary",8.7,14090,2020
tt11007006,Azize,Drama,8.7,13683,2019
tt0090509,"The Return of Sherlock Holmes","Crime, Drama, Mystery",8.7,13677,1986
tt0229889,"El Chavo del Ocho","Comedy, Family",8.7,13486,1972
tt7621364,"Black Pearl",Drama,8.7,12925,2017
tt6111552,"Content Cop","Comedy, Crime, Talk-Show",8.7,12618,2015
tt4269716,Umbre,"Crime, Drama, Thriller",8.7,11667,2014
tt7094780,"Mr. Sunshine","Action, Drama, Romance",8.7,10995,2018
tt10554898,"The Untamed","Action, Adventure, Drama",8.7,10566,2019
tt0773262,Dexter,"Crime, Drama, Mystery",8.6,798537,2006
tt8111088,"The Mandalorian","Action, Adventure, Fantasy",8.6,604194,2019
tt1856010,"House of Cards",Drama,8.6,537619,2013
tt3322312,Daredevil,"Action, Crime, Drama",8.6,484359,2015
tt5290382,Mindhunter,"Crime, Drama, Mystery",8.6,350907,2017
tt1124373,"Sons of Anarchy","Crime, Drama, Thriller",8.6,330984,2008
tt1266020,"Parks and Recreation",Comedy,8.6,294849,2009
tt4786824,"The Crown","Biography, Drama, History",8.6,263225,2016
tt0106179,"The X-Files","Adventure, Crime, Drama",8.6,255743,1993
tt14452776,"The Bear","Comedy, Drama",8.6,250130,2022
tt0979432,"Boardwalk Empire","Crime, Drama",8.6,206536,2010
tt2788316,Shogun,"Adventure, Drama, History",8.6,182298,2024
tt1486217,Archer,"Action, Animation, Comedy",8.6,168529,2009
tt9335498,"Demon Slayer: Kimetsu no Yaiba","Action, Adventure, Animation",8.6,167790,2019
tt0096657,"Mr. Bean","Comedy, Family",8.6,137352,1990
tt1870479,"The Newsroom",Drama,8.6,126995,2012
tt1489428,Justified,"Action, Crime, Drama",8.6,121633,2010
tt0348914,Deadwood,"Crime, Drama, History",8.6,120211,2004
tt1305826,"Adventure Time","Action, Adventure, Animation",8.6,117013,2010
tt7908628,"What We Do in the Shadows","Comedy, Fantasy, Horror",8.6,108443,2019
tt4288182,Atlanta,"Comedy, Drama, Music",8.6,90877,2016
tt9174558,Dopesick,Drama,8.6,82067,2021
tt1733785,"The Bridge","Crime, Mystery, Thriller",8.6,78384,2011
tt5421602,"Anne with an E","Drama, Family",8.6,69602,2017
tt4299972,"The Jinx: The Life and Deaths of Robert Durst","Biography, Crime, Documentary",8.6,54333,2015
tt0094525,Poirot,"Crime, Drama, Mystery",8.6,53560,1989
tt0088484,"Blackadder II",Comedy,8.6,50679,1986
tt5897304,"Mob Psycho 100","Action, Animation, Comedy",8.6,49474,2016
tt0092324,"Blackadder the Third",Comedy,8.6,47760,1987
tt2100976,"Impractical Jokers","Comedy, Reality-TV",8.6,47059,2011
tt1641384,"Young Justice","Action, Adventure, Animation",8.6,46676,2010
tt2049116,Gomorrah,"Crime, Drama, Thriller",8.6,45548,2014
tt13111040,"The Offer","Biography, Crime, Drama",8.6,42479,2022
tt5288312,Skam,"Drama, Romance",8.6,39572,2015
tt11854694,"Special OPS","Action, Crime, Thriller",8.6,38133,2020
tt9140342,"It's a Sin","Comedy, Drama, History",8.6,37851,2021
tt12451520,"It's Okay to Not Be Okay","Comedy, Drama, Romance",8.6,37350,2020
tt0053488,"The Bugs Bunny Show","Animation, Comedy",8.6,36149,1960
tt0417349,"North & South","Drama, Romance",8.6,35597,2004
tt2701582,Endeavour,"Crime, Drama, Mystery",8.6,34499,2012
tt0380136,QI,"Comedy, Game-Show",8.6,34009,2003
tt7562112,Pose,Drama,8.6,33679,2018
tt1983079,"Call the Midwife","Drama, History",8.6,32436,2012
tt4647692,Letterkenny,Comedy,8.6,30806,2016
tt5994364,"Guardian: The Lonely and Great God","Comedy, Drama, Fantasy",8.6,30194,2016
tt20869502,"Extraordinary Attorney Woo",Drama,8.6,29355,2022
tt0417373,"The Venture Bros.","Action, Adventure, Animation",8.6,28561,2003
tt4156586,"Permanent Roommates","Comedy, Romance",8.6,26501,2014
tt0094517,"Mystery Science Theater 3000","Comedy, Sci-Fi",8.6,26145,1988
tt2433738,Wentworth,"Crime, Drama, Thriller",8.6,25296,2013
tt21056886,"Scavengers Reign","Adventure, Animation, Drama",8.6,23522,2023
tt2244495,"The Eric Andre Show","Comedy, Talk-Show",8.6,22316,2012
tt0129690,"I'm Alan Partridge",Comedy,8.6,22297,1997
tt4082744,Detectorists,Comedy,8.6,22276,2014
tt0421291,"Avrupa Yakasi",Comedy,8.6,21851,2004
tt2311418,"Isler Güçler",Comedy,8.6,21486,2012
tt8050756,"The Owl House","Action, Adventure, Animation",8.6,20979,2020
tt7278862,"My Brilliant Friend",Drama,8.6,18953,2018
tt0310455,"Foyle's War","Crime, Drama, Mystery",8.6,18821,2002
tt1513168,"Through the Wormhole",Documentary,8.6,18549,2010
tt10590066,"All Creatures Great & Small","Comedy, Drama",8.6,17981,2020
tt9814458,"Bandish Bandits","Drama, Music, Romance",8.6,17858,2020
tt3671754,"Kardes Payi","Comedy, Drama, Family",8.6,17441,2014
tt0203082,"Rurouni Kenshin: Trust and Betrayal","Action, Adventure, Animation",8.6,16587,1999
tt0403778,"Long Way Round","Adventure, Documentary",8.6,15522,2004
tt17513352,"Twenty Five Twenty One","Drama, Romance",8.6,15362,2022
tt15614372,"Tear Along the Dotted Line","Animation, Comedy, Drama",8.6,15131,2021
tt6385540,Hilda,"Adventure, Animation, Drama",8.6,14447,2018
tt0120570,"From the Earth to the Moon","Action, Drama, History",8.6,13469,1998
tt1877368,"The Great British Baking Show","Game-Show, Reality-TV",8.6,13269,2010
tt0086831,"Yes, Prime Minister",Comedy,8.6,13258,1986
tt13634792,Mouse,"Action, Crime, Mystery",8.6,12381,2021
tt5320412,"Moon Lovers: Scarlet Heart Ryeo","Action, Drama, Fantasy",8.6,12282,2016
tt0118273,"Brass Eye",Comedy,8.6,11745,1997
tt13400006,"Mr. Queen","Comedy, Fantasy, Romance",8.6,11694,2020
tt9103932,"Greatest Events of WWII in Colour","Documentary, History, War",8.6,11341,2019
tt8254348,ImMATURE,"Comedy, Drama, Romance",8.6,10466,2019
tt31862849,"Very Parivarik",Comedy,8.6,10198,2024
tt4580372,Merlí,"Comedy, Drama, Romance",8.6,10186,2015
tt0426719,"Hunter x Hunter","Action, Adventure, Animation",8.6,10160,1999
tt9304350,"Fruits Basket","Animation, Comedy, Drama",8.6,10073,2019
tt2306299,Vikings,"Action, Adventure, Drama",8.5,600060,2013
tt10048342,"The Queen's Gambit",Drama,8.5,582404,2020
tt0475784,Westworld,"Drama, Mystery, Sci-Fi",8.5,540937,2016
tt1442437,"Modern Family","Comedy, Drama, Romance",8.5,499325,2009
tt4158110,"Mr. Robot","Crime, Drama, Thriller",8.5,428571,2015
tt5071412,Ozark,"Crime, Drama, Thriller",8.5,357251,2017
tt6763664,"The Haunting of Hill House","Drama, Horror, Mystery",8.5,299104,2018
tt1439629,Community,Comedy,8.5,298736,2009
tt1586680,Shameless,"Comedy, Drama",8.5,298362,2011
tt2243973,Hannibal,"Crime, Drama, Horror",8.5,283205,2013
tt0149460,Futurama,"Adventure, Animation, Comedy",8.5,266167,1999
tt1442449,Spartacus,"Action, Adventure, Biography",8.5,261124,2010
tt0436992,"Doctor Who","Adventure, Drama, Sci-Fi",8.5,252211,2005
tt1839578,"Person of Interest","Action, Crime, Drama",8.5,193138,2011
tt3230854,"The Expanse","Drama, Mystery, Sci-Fi",8.5,177053,2015
tt4179452,"The Last Kingdom","Action, Drama, History",8.5,171940,2015
tt2575988,"Silicon Valley",Comedy,8.5,169608,2014
tt0487831,"The IT Crowd",Comedy,8.5,167163,2006
tt3526078,"Schitt's Creek",Comedy,8.5,151908,2015
tt1758429,"Spartacus: Gods of the Arena","Action, Adventure, Biography",8.5,147671,2011
tt12343534,"Jujutsu Kaisen","Action, Adventure, Animation",8.5,133300,2020
tt0290978,"The Office","Comedy, Drama",8.5,125358,2001
tt5189670,"Making a Murderer","Crime, Documentary",8.5,104229,2015
tt6077448,"Sacred Games","Action, Crime, Drama",8.5,94161,2018
tt0112159,"Neon Genesis Evangelion","Action, Animation, Drama",8.5,90494,1995
tt3502248,Bosch,"Crime, Drama",8.5,85851,2014
tt1492966,Louie,"Comedy, Drama",8.5,82886,2010
tt10638036,Heartstopper,"Drama, Romance",8.5,82382,2022
tt0314979,"Battlestar Galactica","Action, Adventure, Drama",8.5,81468,2003
tt0421357,"Fullmetal Alchemist","Action, Adventure, Animation",8.5,79493,2003
tt4093826,"Twin Peaks","Crime, Drama, Horror",8.5,78196,2017
tt0088509,"Dragon Ball","Action, Adventure, Animation",8.5,68644,1986
tt11912196,"Asur: Welcome to Your Dark Side","Crime, Drama, Mystery",8.5,67068,2020
tt0863046,"Flight of the Conchords","Comedy, Music, Musical",8.5,66908,2007
tt0280249,"Dragon Ball","Action, Adventure, Animation",8.5,66659,1995
tt3428912,"Happy Valley","Crime, Drama, Thriller",8.5,66656,2014
tt0068098,M*A*S*H,"Comedy, Drama, War",8.5,65208,1972
tt7120662,"Derry Girls",Comedy,8.5,64234,2018
tt1710308,"Regular Show","Action, Adventure, Animation",8.5,61668,2010
tt0278238,"Samurai Jack","Action, Adventure, Animation",8.5,61200,2001
tt0187664,Spaced,Comedy,8.5,58416,1999
tt0423731,"Samurai Champloo","Action, Adventure, Animation",8.5,57140,2004
tt2937900,"The Knick","Drama, History",8.5,53352,2014
tt0275137,"Justice League","Action, Adventure, Animation",8.5,52965,2001
tt8289930,"Formula 1: Drive to Survive","Documentary, Sport",8.5,52756,2019
tt0290988,"Trailer Park Boys","Comedy, Crime",8.5,52237,2001
tt0402711,"Boston Legal","Comedy, Crime, Drama",8.5,50826,2004
tt0237123,Coupling,"Comedy, Romance",8.5,48220,2000
tt0163507,"Whose Line Is It Anyway?","Comedy, Game-Show",8.5,47006,1998
tt3895150,"Your Lie in April","Animation, Comedy, Drama",8.5,40051,2014
tt2359704,"JoJo's Bizarre Adventure","Action, Adventure, Animation",8.5,38014,2012
tt0373732,"The Boondocks","Action, Animation, Comedy",8.5,36904,2005
tt12714854,"Mumbai Diaries","Drama, Thriller",8.5,30859,2021
tt1526318,Borgen,Drama,8.5,30546,2010
tt11301642,Ethos,"Drama, Thriller",8.5,30060,2020
tt1299368,Southland,"Crime, Drama, Thriller",8.5,29562,2009
tt0043208,"I Love Lucy",Comedy,8.5,29428,1951
tt10802170,"The Rehearsal","Comedy, Documentary",8.5,27167,2022
tt9398466,"Delhi Crime","Crime, Drama",8.5,26865,2019
tt0075520,"Jesus of Nazareth","Biography, Drama, History",8.5,25380,1977
tt16296870,"The Railway Men","Drama, History, Thriller",8.5,25160,2023
tt1353056,"RuPaul's Drag Race","Game-Show, Reality-TV",8.5,23919,2009
tt0088727,"Anne of Green Gables","Drama, Family",8.5,23152,1985
tt0262985,"Queer as Folk","Drama, Romance",8.5,22826,2000
tt9522300,"Kaguya-sama: Love is War","Animation, Comedy, Romance",8.5,21907,2019
tt11407524,"Hostel Daze","Comedy, Drama",8.5,21482,2019
tt2674806,"Inside No. 9","Comedy, Crime, Drama",8.5,21393,2014
tt7259746,"Queer Eye",Reality-TV,8.5,21356,2018
tt0346314,"Ghost in the Shell: Stand Alone Complex","Action, Animation, Crime",8.5,21341,2002
tt0182629,"Rurouni Kenshin","Action, Adventure, Animation",8.5,20894,1996
tt6005644,"TVF Tripling","Comedy, Drama",8.5,20741,2016
tt1094229,Heartland,"Drama, Family",8.5,20657,2007
tt0397150,"Garth Marenghi's Darkplace","Comedy, Fantasy, Horror",8.5,20497,2004
tt3673794,Kingdom,"Drama, Sport",8.5,20010,2014
tt2155025,"Please Like Me","Comedy, Drama, Romance",8.5,19984,2013
tt0047708,"Alfred Hitchcock Presents","Crime, Drama, Mystery",8.5,19628,1955
