Date,Price,Open,High,Low,Vol.,Change %
"Dec 31, 2009",2269.15,2292.92,2293.59,2269.11,358.63M,-0.97%
"Dec 30, 2009",2291.28,2284.56,2293.02,2280.16,369.16M,0.13%
"Dec 29, 2009",2288.4,2293.94,2294.75,2286.57,312.40M,-0.12%
"Dec 28, 2009",2291.08,2290.04,2295.8,2280.56,320.26M,0.24%
"Dec 24, 2009",2285.69,2273.95,2285.89,2273.4,169.83M,0.71%
"Dec 23, 2009",2269.64,2257.21,2271.33,2253.67,409.01M,0.75%
"Dec 22, 2009",2252.67,2242.61,2253.73,2241.33,469.96M,0.67%
"Dec 21, 2009",2237.66,2224.04,2242.22,2224.04,490.06M,1.17%
"Dec 18, 2009",2211.69,2197.57,2213.18,2190.69,1.27B,1.45%
"Dec 17, 2009",2180.05,2193.5,2198.51,2178.05,547.68M,-1.22%
"Dec 16, 2009",2206.91,2210.35,2220.46,2203.33,553.36M,0.27%
"Dec 15, 2009",2201.05,2203.54,2217.63,2197.76,555.72M,-0.50%
"Dec 14, 2009",2212.1,2202.31,2212.56,2193.2,508.13M,0.99%
"Dec 11, 2009",2190.31,2200.96,2202.4,2179.51,485.32M,-0.03%
"Dec 10, 2009",2190.86,2194.9,2202.84,2187.08,531.18M,0.33%
"Dec 09, 2009",2183.73,2170.02,2185.7,2155.96,550.10M,0.49%
"Dec 08, 2009",2172.99,2174.72,2187.19,2160.43,578.51M,-0.76%
"Dec 07, 2009",2189.61,2191.35,2201.42,2183.13,530.18M,-0.22%
"Dec 04, 2009",2194.35,2203.75,2214.39,2169.66,700.40M,0.98%
"Dec 03, 2009",2173.14,2190.42,2203.75,2172.04,572.73M,-0.54%
"Dec 02, 2009",2185.03,2178.51,2198.55,2177.82,591.12M,0.42%
"Dec 01, 2009",2175.81,2162.23,2182.24,2162.23,656.70M,1.46%
"Nov 30, 2009",2144.6,2135.93,2146.93,2120.7,694.00M,0.29%
"Nov 27, 2009",2138.44,2115.96,2155.41,2113.99,338.70M,-1.73%
"Nov 25, 2009",2176.05,2174,2178.62,2170.06,394.86M,0.32%
"Nov 24, 2009",2169.18,2174.69,2175.15,2155.22,550.65M,-0.31%
"Nov 23, 2009",2176.01,2168.95,2189.5,2168.77,556.34M,1.40%
"Nov 20, 2009",2146.04,2145.07,2150.08,2137.06,635.48M,-0.50%
"Nov 19, 2009",2156.82,2176.37,2176.51,2141.59,683.26M,-1.66%
"Nov 18, 2009",2193.14,2199.87,2200.15,2180.17,566.66M,-0.48%
"Nov 17, 2009",2203.78,2190.12,2203.78,2185.55,564.24M,0.27%
"Nov 16, 2009",2197.85,2177.31,2205.32,2177,634.43M,1.38%
"Nov 13, 2009",2167.88,2156.68,2172.05,2145.92,557.64M,0.88%
"Nov 12, 2009",2149.02,2166.98,2179.19,2145.83,673.04M,-0.83%
"Nov 11, 2009",2166.9,2166.53,2177.91,2155.25,575.83M,0.74%
"Nov 10, 2009",2151.08,2147.24,2160.64,2141.27,612.67M,-0.14%
"Nov 09, 2009",2154.06,2128.46,2154.06,2128.15,601.40M,1.97%
"Nov 06, 2009",2112.44,2089.49,2117.62,2088.24,559.09M,0.34%
"Nov 05, 2009",2105.32,2078.83,2105.32,2075.61,673.61M,2.42%
"Nov 04, 2009",2055.52,2067.56,2081.1,2053,683.02M,-0.09%
"Nov 03, 2009",2057.32,2034.09,2057.32,2031.25,685.67M,0.40%
"Nov 02, 2009",2049.2,2047.42,2069.49,2024.27,735.52M,0.20%
"Oct 30, 2009",2045.11,2091.56,2095.09,2040.21,873.90M,-2.50%
"Oct 29, 2009",2097.55,2077.04,2101.33,2071.3,722.13M,1.84%
"Oct 28, 2009",2059.61,2103.36,2111.84,2057.4,852.27M,-2.67%
"Oct 27, 2009",2116.09,2144.15,2148.88,2110.91,739.94M,-1.20%
"Oct 26, 2009",2141.85,2158.81,2183.61,2136.92,700.30M,-0.59%
"Oct 23, 2009",2154.47,2186.64,2190.48,2149.35,763.27M,-0.50%
"Oct 22, 2009",2165.29,2146.72,2169.17,2130.7,712.90M,0.68%
"Oct 21, 2009",2150.73,2160.78,2190.64,2148.41,780.67M,-0.59%
"Oct 20, 2009",2163.47,2180.43,2181.16,2151.77,641.91M,-0.59%
"Oct 19, 2009",2176.32,2162.41,2180.11,2150.42,573.19M,0.91%
"Oct 16, 2009",2156.8,2164.73,2164.73,2142.88,698.20M,-0.76%
"Oct 15, 2009",2173.29,2164.33,2173.29,2158.29,653.29M,0.05%
"Oct 14, 2009",2172.23,2165.83,2173.95,2157.48,699.93M,1.51%
"Oct 13, 2009",2139.89,2138.7,2146.35,2128.44,611.98M,0.04%
"Oct 12, 2009",2139.14,2145.63,2155.92,2128.39,504.40M,-0.01%
"Oct 09, 2009",2139.28,2120,2139.62,2118.04,564.07M,0.72%
"Oct 08, 2009",2123.93,2124.69,2139.65,2116.06,704.98M,0.64%
"Oct 07, 2009",2110.33,2099.06,2110.33,2095.94,611.10M,0.32%
"Oct 06, 2009",2103.57,2080.4,2111.13,2079.49,686.41M,1.71%
"Oct 05, 2009",2068.15,2056.52,2074.78,2049.04,637.28M,0.98%
"Oct 02, 2009",2048.11,2040.84,2064.15,2040.73,707.25M,-0.46%
"Oct 01, 2009",2057.48,2111.77,2112.9,2057.48,788.80M,-3.06%
"Sep 30, 2009",2122.42,2131.3,2137.87,2092.3,803.80M,-0.08%
"Sep 29, 2009",2124.04,2131.67,2141.4,2116.63,572.88M,-0.31%
"Sep 28, 2009",2130.74,2101.92,2140.04,2101.43,534.37M,1.90%
"Sep 25, 2009",2090.92,2095.84,2106.99,2085.35,642.68M,-0.79%
"Sep 24, 2009",2107.61,2140.06,2142.49,2097.1,711.31M,-1.12%
"Sep 23, 2009",2131.42,2152.43,2167.7,2130.34,739.70M,-0.69%
"Sep 22, 2009",2146.3,2150.02,2150.68,2137.39,709.34M,0.39%
"Sep 21, 2009",2138.04,2121.34,2142.41,2118.48,691.00M,0.24%
"Sep 18, 2009",2132.86,2134.85,2138.82,2120.7,1.10B,0.29%
"Sep 17, 2009",2126.75,2129.42,2140.6,2118.5,715.12M,-0.30%
"Sep 16, 2009",2133.15,2110.06,2133.15,2102.86,753.25M,1.45%
"Sep 15, 2009",2102.64,2090.33,2106.93,2086.16,657.65M,0.52%
"Sep 14, 2009",2091.78,2066.15,2091.78,2065.8,606.49M,0.52%
"Sep 11, 2009",2080.9,2083.34,2088.93,2070.02,626.70M,-0.15%
"Sep 10, 2009",2084.02,2059.48,2084.02,2055.49,694.97M,1.15%
"Sep 09, 2009",2060.39,2038.92,2066.34,2033.47,709.48M,1.11%
"Sep 08, 2009",2037.77,2034.74,2038.63,2023.03,581.22M,0.94%
"Sep 04, 2009",2018.78,1986.98,2018.92,1982.05,498.46M,1.79%
"Sep 03, 2009",1983.2,1975.85,1983.37,1958.04,545.86M,0.82%
"Sep 02, 2009",1967.07,1960.07,1976.35,1958.51,586.15M,-0.09%
"Sep 01, 2009",1968.89,2001.3,2034.78,1965.48,789.23M,-2.00%
"Aug 31, 2009",2009.06,2011.14,2013.65,1997.53,679.78M,-0.97%
"Aug 28, 2009",2028.77,2050.53,2059.48,2017.42,668.03M,0.05%
"Aug 27, 2009",2027.73,2021.31,2029.27,1993.03,595.34M,0.16%
"Aug 26, 2009",2024.43,2021.3,2034.31,2013.52,559.00M,0.01%
"Aug 25, 2009",2024.23,2025.59,2040.59,2019.17,558.24M,0.31%
"Aug 24, 2009",2017.98,2026.11,2036.03,2012,568.00M,-0.14%
"Aug 21, 2009",2020.9,2000.15,2021.86,1994.33,731.14M,1.59%
"Aug 20, 2009",1989.22,1967.57,1992.22,1965.69,555.79M,1.01%
"Aug 19, 2009",1969.24,1933.39,1972.32,1931.91,564.66M,0.68%
"Aug 18, 2009",1955.92,1940.55,1958.71,1935.33,510.60M,1.30%
"Aug 17, 2009",1930.84,1949.23,1949.23,1929.64,586.54M,-2.75%
"Aug 14, 2009",1985.52,2005.79,2006.73,1969.68,554.78M,-1.19%
"Aug 13, 2009",2009.35,2009.27,2013.43,1986.87,574.55M,0.53%
"Aug 12, 2009",1998.72,1970.95,2015.26,1970.25,630.70M,1.47%
"Aug 11, 2009",1969.73,1985.06,1986.85,1962.08,558.15M,-1.13%
"Aug 10, 2009",1992.24,1991.44,1999.55,1979.39,525.78M,-0.40%
"Aug 07, 2009",2000.25,1997,2012.33,1984.5,652.70M,1.37%
"Aug 06, 2009",1973.16,1999.21,2004.37,1967.68,693.81M,-1.00%
"Aug 05, 2009",1993.05,2014.45,2014.45,1980.68,677.03M,-0.91%
"Aug 04, 2009",2011.31,1996.38,2015.59,1993.74,625.38M,0.13%
"Aug 03, 2009",2008.61,1998.35,2008.61,1985.88,626.93M,1.52%
"Jul 31, 2009",1978.5,1980.72,1995.05,1977.65,704.43M,-0.29%
"Jul 30, 2009",1984.3,1986.21,2009.81,1980.08,736.07M,0.84%
"Jul 29, 2009",1967.76,1965.32,1970.65,1953.36,589.74M,-0.39%
"Jul 28, 2009",1975.51,1957.26,1978.43,1947.89,625.51M,0.39%
"Jul 27, 2009",1967.89,1964.62,1971.38,1946.95,624.50M,0.10%
"Jul 24, 2009",1965.96,1943.23,1966.26,1937.64,644.28M,-0.39%
"Jul 23, 2009",1973.6,1924.96,1979.34,1924.77,869.63M,2.45%
"Jul 22, 2009",1926.38,1908.83,1934.61,1907.25,676.12M,0.53%
"Jul 21, 2009",1916.2,1917.39,1917.46,1892.17,650.10M,0.36%
"Jul 20, 2009",1909.29,1896.99,1909.89,1890,618.05M,1.20%
"Jul 17, 2009",1886.61,1880.31,1887.34,1873.81,630.41M,0.08%
"Jul 16, 2009",1885.03,1856.05,1887.89,1854.7,657.84M,1.19%
"Jul 15, 2009",1862.9,1827.61,1863.29,1824.31,788.23M,3.51%
"Jul 14, 2009",1799.73,1790.7,1800.73,1782.85,583.38M,0.36%
"Jul 13, 2009",1793.21,1761.03,1793.21,1736.95,619.33M,2.12%
"Jul 10, 2009",1756.03,1744.61,1764.11,1738.26,518.84M,0.20%
"Jul 09, 2009",1752.55,1756.97,1763.63,1747.44,579.69M,0.31%
"Jul 08, 2009",1747.17,1756,1757.67,1727.05,760.93M,0.06%
"Jul 07, 2009",1746.17,1787.44,1788.97,1745.38,604.92M,-2.31%
"Jul 06, 2009",1787.4,1783.5,1793.42,1770.11,594.47M,-0.51%
"Jul 02, 2009",1796.52,1823.69,1823.91,1795.95,565.14M,-2.67%
"Jul 01, 2009",1845.72,1846.12,1861.62,1843.79,574.67M,0.58%
"Jun 30, 2009",1835.04,1845.47,1854.69,1824.95,640.40M,-0.49%
"Jun 29, 2009",1844.06,1842.09,1854.09,1825.03,599.12M,0.32%
"Jun 26, 2009",1838.22,1819.16,1840.98,1816.84,1.85B,0.47%
"Jun 25, 2009",1829.54,1783.19,1829.67,1779.18,646.35M,2.08%
"Jun 24, 2009",1792.34,1780.88,1807.08,1780.25,597.73M,1.55%
"Jun 23, 2009",1764.92,1771.42,1777.58,1753.78,627.38M,-0.07%
"Jun 22, 2009",1766.19,1809.53,1810.58,1765.85,687.36M,-3.35%
"Jun 19, 2009",1827.47,1824.99,1837.58,1817.07,1.13B,1.09%
"Jun 18, 2009",1807.72,1809.04,1816.6,1795.74,583.06M,-0.02%
"Jun 17, 2009",1808.06,1799.22,1824.2,1785.34,713.74M,0.66%
"Jun 16, 2009",1796.18,1825.2,1831.18,1795.55,637.43M,-1.11%
"Jun 15, 2009",1816.38,1837.94,1838.33,1803.07,639.24M,-2.28%
"Jun 12, 2009",1858.8,1852.43,1858.8,1833.39,556.53M,-0.19%
"Jun 11, 2009",1862.37,1854.75,1879.92,1854.75,677.68M,0.50%
"Jun 10, 2009",1853.08,1872.01,1872.7,1827.61,673.00M,-0.38%
"Jun 09, 2009",1860.13,1850.48,1869.52,1846.26,606.88M,0.96%
"Jun 08, 2009",1842.4,1836.87,1857.8,1818.59,576.18M,-0.38%
"Jun 05, 2009",1849.42,1864.02,1865.95,1834.63,662.10M,-0.03%
"Jun 04, 2009",1850.02,1829.84,1850.04,1825.62,743.62M,1.32%
"Jun 03, 2009",1825.92,1825.6,1828.09,1806.51,675.45M,-0.59%
"Jun 02, 2009",1836.8,1821.22,1846.65,1815.83,728.01M,0.44%
"Jun 01, 2009",1828.68,1796.09,1833.18,1792.8,947.40M,3.06%
"May 29, 2009",1774.33,1756.26,1774.33,1742.99,946.60M,1.29%
"May 28, 2009",1751.79,1744.23,1754.95,1714.48,683.58M,1.20%
"May 27, 2009",1731.08,1745.56,1768.22,1728.96,663.34M,-1.11%
"May 26, 2009",1750.43,1677.72,1751.47,1677.54,662.77M,3.45%
"May 22, 2009",1692.01,1702.06,1711.98,1682.24,484.25M,-0.19%
"May 21, 2009",1695.25,1709.83,1719.58,1677.77,700.34M,-1.89%
"May 20, 2009",1727.84,1743.6,1767.47,1722.32,682.13M,-0.39%
"May 19, 2009",1734.54,1727,1750.05,1719.92,623.00M,0.13%
"May 18, 2009",1732.36,1696.82,1732.36,1689.55,613.25M,3.11%
"May 15, 2009",1680.14,1687.49,1703.45,1676.56,662.76M,-0.54%
"May 14, 2009",1689.21,1672.48,1701.22,1667.94,668.01M,1.50%
"May 13, 2009",1664.19,1696.8,1697.76,1664.19,711.81M,-3.01%
"May 12, 2009",1715.92,1742.86,1743.52,1695.87,740.68M,-0.88%
"May 11, 2009",1731.24,1713.65,1747.97,1705.87,730.78M,-0.45%
"May 08, 2009",1739,1733.5,1747.41,1711.01,914.96M,1.33%
"May 07, 2009",1716.24,1772.1,1773.13,1702.54,944.72M,-2.44%
"May 06, 2009",1759.1,1768.69,1770.29,1730.97,830.06M,0.28%
"May 05, 2009",1754.12,1757.26,1759.42,1735.37,768.64M,-0.54%
"May 04, 2009",1763.56,1733.71,1763.56,1729.31,767.63M,2.58%
"May 01, 2009",1719.2,1719.29,1728.1,1703.52,657.13M,0.11%
"Apr 30, 2009",1717.3,1732.47,1753.61,1710.07,912.41M,0.31%
"Apr 29, 2009",1711.94,1688.66,1726.69,1687.29,745.07M,2.28%
"Apr 28, 2009",1673.81,1668.26,1690.06,1661.4,646.94M,-0.33%
"Apr 27, 2009",1679.41,1672.87,1700.53,1670.49,692.31M,-0.88%
"Apr 24, 2009",1694.29,1666.43,1702.87,1657.49,826.52M,2.55%
"Apr 23, 2009",1652.21,1651.47,1654.85,1625.88,794.59M,0.37%
"Apr 22, 2009",1646.12,1630.14,1679.82,1624.73,831.06M,0.14%
"Apr 21, 2009",1643.85,1599.03,1643.85,1598.93,776.00M,2.22%
"Apr 20, 2009",1608.21,1641.35,1643.32,1606.86,913.43M,-3.88%
"Apr 17, 2009",1673.07,1665.6,1682.24,1653.84,800.51M,0.16%
"Apr 16, 2009",1670.44,1645.52,1676.17,1628.08,737.57M,2.68%
"Apr 15, 2009",1626.8,1613.56,1627.72,1599.11,657.38M,0.07%
"Apr 14, 2009",1625.72,1637.5,1651.28,1618.04,728.18M,-1.67%
"Apr 13, 2009",1653.31,1641.61,1660.83,1630.54,580.02M,0.05%
"Apr 09, 2009",1652.54,1618.83,1652.54,1616.25,701.49M,3.89%
"Apr 08, 2009",1590.66,1576.93,1595.97,1567.22,577.97M,1.86%
"Apr 07, 2009",1561.61,1585.58,1588,1559.46,580.99M,-2.81%
"Apr 06, 2009",1606.71,1602.24,1607.6,1580.65,650.35M,-0.93%
"Apr 03, 2009",1621.87,1609.05,1621.87,1593.05,669.25M,1.20%
"Apr 02, 2009",1602.63,1579.97,1623.34,1576.82,875.36M,3.29%
"Apr 01, 2009",1551.6,1504.87,1553.03,1498.54,729.15M,1.51%
"Mar 31, 2009",1528.59,1518.7,1554.47,1518.01,712.61M,1.78%
"Mar 30, 2009",1501.8,1516.79,1517.06,1484.98,667.83M,-2.81%
"Mar 27, 2009",1545.2,1564.12,1569.21,1543.43,642.82M,-2.63%
"Mar 26, 2009",1587,1549.4,1587,1545.21,867.63M,3.80%
"Mar 25, 2009",1528.95,1527.59,1554.25,1487.94,787.64M,0.82%
"Mar 24, 2009",1516.52,1535.68,1546.21,1515.63,626.35M,-2.52%
"Mar 23, 2009",1555.77,1491.26,1555.77,1482.15,758.81M,6.76%
"Mar 20, 2009",1457.27,1488.15,1501.78,1448.78,1.03B,-1.77%
"Mar 19, 2009",1483.48,1509.06,1509.06,1475.49,758.05M,-0.52%
"Mar 18, 2009",1491.22,1454.44,1507.4,1448.67,897.80M,1.99%
"Mar 17, 2009",1462.11,1409.67,1462.11,1405.32,707.64M,4.14%
"Mar 16, 2009",1404.02,1445.27,1445.27,1402.48,700.55M,-1.92%
"Mar 13, 2009",1431.5,1427.03,1433.98,1408.26,712.79M,0.38%
"Mar 12, 2009",1426.1,1367.78,1427.55,1355.05,826.96M,3.97%
"Mar 11, 2009",1371.64,1364.8,1385.29,1352.6,742.71M,0.98%
"Mar 10, 2009",1358.28,1288.95,1358.28,1288.95,847.81M,7.07%
"Mar 09, 2009",1268.64,1284.84,1316.15,1265.52,700.22M,-1.95%
"Mar 06, 2009",1293.85,1310.59,1320.51,1268.54,876.18M,-0.44%
"Mar 05, 2009",1299.59,1332.38,1342.86,1298.33,823.34M,-4.00%
"Mar 04, 2009",1353.74,1340.38,1370.29,1333.88,835.26M,2.48%
"Mar 03, 2009",1321.01,1341.42,1346.88,1312.98,939.20M,-0.14%
"Mar 02, 2009",1322.85,1356.13,1372,1322.13,833.16M,-3.99%
"Feb 27, 2009",1377.84,1376.56,1401.97,1372.42,967.62M,-0.98%
"Feb 26, 2009",1391.47,1436.85,1444.83,1391.47,820.32M,-2.38%
"Feb 25, 2009",1425.43,1428.76,1453.66,1404.54,853.99M,-1.14%
"Feb 24, 2009",1441.83,1399.37,1445.07,1395.11,879.57M,3.90%
"Feb 23, 2009",1387.72,1452.58,1452.58,1386.68,735.18M,-3.71%
"Feb 20, 2009",1441.23,1427.03,1454.39,1416.96,960.29M,-0.11%
"Feb 19, 2009",1442.82,1478.55,1485.14,1442.53,724.51M,-1.71%
"Feb 18, 2009",1467.97,1480.65,1487.92,1454.46,745.32M,-0.18%
"Feb 17, 2009",1470.66,1489.12,1492.82,1467.79,903.97M,-4.15%
"Feb 13, 2009",1534.36,1539.72,1552.57,1530.05,704.95M,-0.48%
"Feb 12, 2009",1541.71,1510.17,1542.51,1495.34,886.95M,0.73%
"Feb 11, 2009",1530.5,1531.58,1542.84,1509.35,813.70M,0.38%
"Feb 10, 2009",1524.73,1578.02,1598.5,1520.56,910.35M,-4.20%
"Feb 09, 2009",1591.56,1590.74,1598.23,1576.1,662.39M,-0.01%
"Feb 06, 2009",1591.71,1547,1594.26,1545.85,847.82M,2.94%
"Feb 05, 2009",1546.24,1498.59,1554.37,1495.52,930.49M,2.06%
"Feb 04, 2009",1515.05,1517.19,1549.64,1508.87,818.41M,-0.08%
"Feb 03, 2009",1516.3,1499.59,1521.21,1479.42,778.32M,1.46%
"Feb 02, 2009",1494.43,1460.85,1502.72,1460.51,763.51M,1.22%
"Jan 30, 2009",1476.42,1519.46,1523.45,1472.51,811.95M,-2.08%
"Jan 29, 2009",1507.84,1537.47,1537.84,1505.7,734.12M,-3.24%
"Jan 28, 2009",1558.34,1530.48,1568.33,1530.03,793.64M,3.55%
"Jan 27, 2009",1504.9,1494.12,1513.21,1488.81,675.54M,1.04%
"Jan 26, 2009",1489.46,1479.98,1514.38,1470.81,704.64M,0.82%
"Jan 23, 2009",1477.29,1440.78,1495.27,1434.08,814.86M,0.81%
"Jan 22, 2009",1465.49,1470.85,1492.47,1444.08,906.30M,-2.76%
"Jan 21, 2009",1507.07,1466.4,1507.52,1444.9,821.53M,4.60%
"Jan 20, 2009",1440.86,1520.76,1521.85,1440.86,813.22M,-5.78%
"Jan 16, 2009",1529.33,1532.47,1538.82,1490.35,930.84M,1.16%
"Jan 15, 2009",1511.84,1489.46,1521.58,1456.72,917.95M,1.49%
"Jan 14, 2009",1489.64,1521.71,1528.65,1485.26,740.74M,-3.67%
"Jan 13, 2009",1546.46,1537.42,1557.95,1527.47,726.89M,0.50%
"Jan 12, 2009",1538.79,1573.45,1573.46,1528,645.32M,-2.09%
"Jan 09, 2009",1571.59,1617.05,1617.26,1569.87,724.59M,-2.81%
"Jan 08, 2009",1617.01,1590.25,1617.01,1584.28,702.64M,1.12%
"Jan 07, 2009",1599.06,1621.63,1625.37,1588.2,758.20M,-3.23%
"Jan 06, 2009",1652.38,1642.37,1665.63,1636.25,728.25M,1.50%
"Jan 05, 2009",1628.03,1621.48,1640.46,1604.63,632.99M,-0.26%
